"id_producto","id_categoria","codigo_interno","tipo_vehiculo","marca","modelo","año","color","chasis","motor","kilometraje","combustible","transmision","numero_puertas","capacidad_pasajeros","estado","procedencia","ubicacion_actual","costo_base","precio_contado_sugerido","precio_venta_minimo","estado_disponibilidad","observaciones","fecha_ingreso","fecha_registro","activo"
40,1,"NCP1000062635",NULL,"OTRO","RACTIS Color: PERLA Año: 2006 Motor: 1500 c.c",2006,"PERLA","NCP1000062635","1500",NULL,NULL,NULL,NULL,NULL,NULL,"IMPORTADO",NULL,"0.00","0.00","75000000.00","VENDIDO","Migrado de SQL Server. Chapa: ","2025-10-15","2026-02-03 01:33:20.122474",True
41,1,"NCP1000063034",NULL,"OTRO","RACTIS Color: PERLA Año: 2006 Motor: 1500 c.c",2006,"PERLA","NCP1000063034","1500",NULL,NULL,NULL,NULL,NULL,NULL,"IMPORTADO",NULL,"0.00","0.00","68000000.00","VENDIDO","Migrado de SQL Server. Chapa: ","2025-10-10","2026-02-03 01:33:20.122474",True
42,1,"NCP1000069322",NULL,"OTRO","RACTIS Color: PERLA Año: 2006 Motor: 1500 c.c",2006,"PERLA","NCP1000069322","1500",NULL,NULL,NULL,NULL,NULL,NULL,"IMPORTADO",NULL,"0.00","0.00","74900000.00","VENDIDO","Migrado de SQL Server. Chapa: ","2025-10-15","2026-02-03 01:33:20.122474",True
43,1,"NCP1000090281",NULL,"OTRO","RACTIS Color: ROJO Año: 2007 Motor: 1500 c.c",2007,"ROJO","NCP1000090281","1500",NULL,NULL,NULL,NULL,NULL,NULL,"IMPORTADO",NULL,"0.00","0.00","70240000.00","VENDIDO","Migrado de SQL Server. Chapa: ","2025-10-13","2026-02-03 01:33:20.122474",True
44,1,"NCP1000091276",NULL,"OTRO","RACTIS Color: NEGRO Año: 2007 Motor: 1500 c.c",2007,"NEGRO","NCP1000091276","1500",NULL,NULL,NULL,NULL,NULL,NULL,"IMPORTADO",NULL,"0.00","0.00","74800000.00","VENDIDO","Migrado de SQL Server. Chapa: ","2025-10-15","2026-02-03 01:33:20.122474",True
45,1,"NCP1000091449",NULL,"OTRO","RACTIS Color: PERLA Año: 2007 Motor: 1500 c.c",2007,"PERLA","NCP1000091449","1500",NULL,NULL,NULL,NULL,NULL,NULL,"IMPORTADO",NULL,"0.00","0.00","66000000.00","VENDIDO","Migrado de SQL Server. Chapa: ","2025-10-11","2026-02-03 01:33:20.122474",True
46,1,"NCP1000095977",NULL,"OTRO","RACTIS Color: PERLA Año: 2007 Motor: 1500 c.c",2007,"PERLA","NCP1000095977","1500",NULL,NULL,NULL,NULL,NULL,NULL,"IMPORTADO",NULL,"30112000.00","0.00","74000000.00","DISPONIBLE","Migrado de SQL Server. Chapa: ","2025-11-13","2026-02-03 01:33:20.122474",True
47,1,"NCP1000096034",NULL,"OTRO","RACTIS Color: NEGRO Año: 2007 Motor: 1500 c.c",2007,"NEGRO","NCP1000096034","1500",NULL,NULL,NULL,NULL,NULL,NULL,"IMPORTADO",NULL,"30704000.00","0.00","74000000.00","VENDIDO","Migrado de SQL Server. Chapa: ","2025-10-21","2026-02-03 01:33:20.122474",True
48,1,"NCP1000098482",NULL,"OTRO","RACTIS Color: PERLA Año: 2007 Motor: 1500 c.c",2007,"PERLA","NCP1000098482","1500",NULL,NULL,NULL,NULL,NULL,NULL,"IMPORTADO",NULL,"0.00","0.00","73000000.00","VENDIDO","Migrado de SQL Server. Chapa: ","2025-10-15","2026-02-03 01:33:20.122474",True
49,1,"NCP1000100489",NULL,"OTRO","RACTIS Color: NEGRO Año: 2007 Motor: 1300 c.c",2007,"NEGRO","NCP1000100489","1300",NULL,NULL,NULL,NULL,NULL,NULL,"IMPORTADO",NULL,"0.00","0.00","66000000.00","VENDIDO","Migrado de SQL Server. Chapa: ","2025-09-25","2026-02-03 01:33:20.122474",True
